trial_num,prime,target,foil1,foil2,prime_target_obj_index,prime_target_subj_index,condition
1,,,,,,medium,D
2,,,,,,medium,D
3,,,,,,strong,E
4,,,,,,strong,E
5,,,,,,medium,D
6,,,,,,strong,E
7,,,,,,strong,E
8,,,,,,strong,E
9,,,,,,medium,D
10,,,,,,medium,D
11,,,,,,strong,E
12,,,,,,strong,E
13,,,,,,medium,D
14,,,,,,strong,E
15,,,,,,medium,D
16,,,,,,medium,D
17,semantic/ListA/truck.jpg,semantic/ListA/car.jpg,semantic/ListA/keg.jpg,semantic/ListA/pen.jpg,0.760769,strong,E
18,semantic/ListA/strainer.jpg,semantic/ListA/spatula.jpg,semantic/ListA/bush.jpg,semantic/ListA/book.jpg,0.5732421,medium,D
19,,,,,,medium,D
20,,,,,,medium,D
21,,,,,,strong,E
22,semantic/ListA/boat.jpg,semantic/ListA/kayak.jpg,semantic/ListA/pelican.jpg,semantic/ListA/crayon.jpg,0.8691903,strong,E
23,,,,,,medium,D
24,,,,,,strong,E
25,,,,,,strong,E
26,semantic/ListA/gorilla.jpg,semantic/ListA/wolf.jpg,semantic/ListA/shrimp.jpg,semantic/ListA/machete.jpg,0.59353596,medium,D
27,semantic/ListA/zebra.jpg,semantic/ListA/kangaroo.jpg,semantic/ListA/chalk.jpg,semantic/ListA/ashtray.jpg,0.58587444,medium,D
28,,,,,,medium,D
29,,,,,,medium,D
30,,,,,,strong,E
31,,,,,,strong,E
32,,,,,,medium,D
33,,,,,,medium,D
34,,,,,,medium,D
35,,,,,,strong,E
36,,,,,,medium,D
37,,,,,,strong,E
38,,,,,,medium,D
39,,,,,,strong,E
40,,,,,,strong,E
41,,,,,,medium,D
42,,,,,,strong,E
43,,,,,,strong,E
44,semantic/ListA/frog.jpg,semantic/ListA/seal.jpg,semantic/ListA/donkey.jpg,semantic/ListA/robot.jpg,0.34582463,medium,D
45,semantic/ListA/soup.jpg,semantic/ListA/salad.jpg,semantic/ListA/harp.jpg,semantic/ListA/arrow.jpg,0.7899963,strong,E
46,,,,,,strong,E
47,semantic/ListA/apron.jpg,semantic/ListA/pants.jpg,semantic/ListA/rock.jpg,semantic/ListA/window.jpg,0.70655453,strong,E
48,,,,,,medium,D
