trial_num,stimulus_1,stimulus_2,sim_index,occurrence,condition
1,episodic/Encoding/ListA/crocodile.jpg,episodic/Encoding/ListA/slippers.jpg,0.037644595,"1,62",E
2,episodic/Encoding/ListA/tree.jpg,episodic/Encoding/ListA/tie.jpg,0.04160613,"2,18",E
3,episodic/Encoding/ListA/squirrel.jpg,episodic/Encoding/ListA/treadmill.jpg,0.01855253,"3,31",E
4,episodic/Encoding/ListA/camera.jpg,episodic/Encoding/ListA/vulture.jpg,0.022930749,4,D
5,episodic/Encoding/ListA/skis.jpg,episodic/Encoding/ListA/wool.jpg,0.14919975,"5,28",E
6,episodic/Encoding/ListA/glasses.jpg,episodic/Encoding/ListA/moon.jpg,0.10262751,6,D
7,episodic/Encoding/ListA/lion.jpg,episodic/Encoding/ListA/muffin.jpg,0.014565378,7,D
8,episodic/Encoding/ListA/beans.jpg,episodic/Encoding/ListA/whistle.jpg,0.015483802,"8,57",E
9,episodic/Encoding/ListA/goldfish.jpg,episodic/Encoding/ListA/kite.jpg,0.1562787,9,D
10,episodic/Encoding/ListA/pickle.jpg,episodic/Encoding/ListA/barbell.jpg,0.07269481,"10,37",E
11,episodic/Encoding/ListA/guitar.jpg,episodic/Encoding/ListA/purse.jpg,0.06760815,"11,55",E
12,episodic/Encoding/ListA/cheese.jpg,episodic/Encoding/ListA/towel.jpg,0.17269424,"12,39",E
13,episodic/Encoding/ListA/hat.jpg,episodic/Encoding/ListA/turkey.jpg,0.01246246,13,D
14,episodic/Encoding/ListA/parrot.jpg,episodic/Encoding/ListA/scissors.jpg,0.08862923,"14,40",E
15,episodic/Encoding/ListA/snail.jpg,episodic/Encoding/ListA/vest.jpg,0.051109236,"15,71",E
16,episodic/Encoding/ListA/shackles.jpg,episodic/Encoding/ListA/anchor.jpg,0.23894045,"16,53",E
17,episodic/Encoding/ListA/cookie.jpg,episodic/Encoding/ListA/rose.jpg,0.04078376,17,D
18,episodic/Encoding/ListA/tree.jpg,episodic/Encoding/ListA/tie.jpg,0.04160613,"2,18",E
19,episodic/Encoding/ListA/belt.jpg,episodic/Encoding/ListA/wallet.jpg,0.15862466,"19,41",E
20,episodic/Encoding/ListA/carrot.jpg,episodic/Encoding/ListA/trumpet.jpg,0.053722844,"20,47",E
21,episodic/Encoding/ListA/salmon.jpg,episodic/Encoding/ListA/earth.jpg,0.004221439,"21,36",E
22,episodic/Encoding/ListA/badger.jpg,episodic/Encoding/ListA/broccoli.jpg,0.002916054,"22,61",E
23,episodic/Encoding/ListA/table.jpg,episodic/Encoding/ListA/turtle.jpg,0.027268287,23,D
24,episodic/Encoding/ListA/bed.jpg,episodic/Encoding/ListA/xylophone.jpg,0.09949767,24,D
25,episodic/Encoding/ListA/cheetah.jpg,episodic/Encoding/ListA/sock.jpg,0.031779803,"25,67",E
26,episodic/Encoding/ListA/dog.jpg,episodic/Encoding/ListA/shoe.jpg,0.10153027,"26,45",E
27,episodic/Encoding/ListA/celery.jpg,episodic/Encoding/ListA/swan.jpg,0.12507635,27,D
28,episodic/Encoding/ListA/skis.jpg,episodic/Encoding/ListA/wool.jpg,0.14919975,"5,28",E
29,episodic/Encoding/ListA/eel.jpg,episodic/Encoding/ListA/orange.jpg,0.13253549,29,D
30,episodic/Encoding/ListA/lamp.jpg,episodic/Encoding/ListA/rake.jpg,0.006229295,30,D
31,episodic/Encoding/ListA/squirrel.jpg,episodic/Encoding/ListA/treadmill.jpg,0.01855253,"3,31",E
32,episodic/Encoding/ListA/sandal.jpg,episodic/Encoding/ListA/heart.jpg,0.006923332,"32,48",E
33,episodic/Encoding/ListA/fork.jpg,episodic/Encoding/ListA/ring.jpg,0.047905765,"33,70",E
34,episodic/Encoding/ListA/cucumber.jpg,episodic/Encoding/ListA/rhinoceros.jpg,0.06644654,34,D
35,episodic/Encoding/ListA/bat.jpg,episodic/Encoding/ListA/yak.jpg,0.29642293,35,D
36,episodic/Encoding/ListA/salmon.jpg,episodic/Encoding/ListA/earth.jpg,0.004221439,"21,36",E
37,episodic/Encoding/ListA/pickle.jpg,episodic/Encoding/ListA/barbell.jpg,0.07269481,"10,37",E
38,episodic/Encoding/ListA/couch.jpg,episodic/Encoding/ListA/strawberry.jpg,0.003774233,"38,72",E
39,episodic/Encoding/ListA/cheese.jpg,episodic/Encoding/ListA/towel.jpg,0.17269424,"12,39",E
40,episodic/Encoding/ListA/parrot.jpg,episodic/Encoding/ListA/scissors.jpg,0.08862923,"14,40",E
41,episodic/Encoding/ListA/belt.jpg,episodic/Encoding/ListA/wallet.jpg,0.15862466,"19,41",E
42,episodic/Encoding/ListA/starfish.jpg,episodic/Encoding/ListA/umbrella.jpg,0.03347347,42,D
43,episodic/Encoding/ListA/chair.jpg,episodic/Encoding/ListA/pumpkin.jpg,0.04719385,43,D
44,episodic/Encoding/ListA/panda.jpg,episodic/Encoding/ListA/shorts.jpg,0.04357282,44,D
45,episodic/Encoding/ListA/dog.jpg,episodic/Encoding/ListA/shoe.jpg,0.10153027,"26,45",E
46,episodic/Encoding/ListA/lemon.jpg,episodic/Encoding/ListA/mailbox.jpg,0.030352334,"46,65",E
47,episodic/Encoding/ListA/carrot.jpg,episodic/Encoding/ListA/trumpet.jpg,0.053722844,"20,47",E
48,episodic/Encoding/ListA/sandal.jpg,episodic/Encoding/ListA/heart.jpg,0.006923332,"32,48",E
49,episodic/Encoding/ListA/bottle.jpg,episodic/Encoding/ListA/vacuum.jpg,0.1221807,"49,56",E
50,episodic/Encoding/ListA/pot.jpg,episodic/Encoding/ListA/cymbals.jpg,0.17872724,50,D
51,episodic/Encoding/ListA/banana.jpg,episodic/Encoding/ListA/zipper.jpg,0.051179826,51,D
52,episodic/Encoding/ListA/tape.jpg,episodic/Encoding/ListA/whale.jpg,0.006669126,"52,59",E
53,episodic/Encoding/ListA/shackles.jpg,episodic/Encoding/ListA/anchor.jpg,0.23894045,"16,53",E
54,episodic/Encoding/ListA/octopus.jpg,episodic/Encoding/ListA/phone.jpg,0.010752911,"54,60",E
55,episodic/Encoding/ListA/guitar.jpg,episodic/Encoding/ListA/purse.jpg,0.06760815,"11,55",E
56,episodic/Encoding/ListA/bottle.jpg,episodic/Encoding/ListA/vacuum.jpg,0.1221807,"49,56",E
57,episodic/Encoding/ListA/beans.jpg,episodic/Encoding/ListA/whistle.jpg,0.015483802,"8,57",E
58,episodic/Encoding/ListA/popcorn.jpg,episodic/Encoding/ListA/cactus.jpg,0.26068768,58,D
59,episodic/Encoding/ListA/tape.jpg,episodic/Encoding/ListA/whale.jpg,0.006669126,"52,59",E
60,episodic/Encoding/ListA/octopus.jpg,episodic/Encoding/ListA/phone.jpg,0.010752911,"54,60",E
61,episodic/Encoding/ListA/badger.jpg,episodic/Encoding/ListA/broccoli.jpg,0.002916054,"22,61",E
62,episodic/Encoding/ListA/crocodile.jpg,episodic/Encoding/ListA/slippers.jpg,0.037644595,"1,62",E
63,episodic/Encoding/ListA/sandwich.jpg,episodic/Encoding/ListA/bracelet.jpg,0.06400789,63,D
64,episodic/Encoding/ListA/horse.jpg,episodic/Encoding/ListA/lock.jpg,0.10693524,64,D
65,episodic/Encoding/ListA/lemon.jpg,episodic/Encoding/ListA/mailbox.jpg,0.030352334,"46,65",E
66,episodic/Encoding/ListA/tractor.jpg,episodic/Encoding/ListA/toilet.jpg,0.12531117,66,D
67,episodic/Encoding/ListA/cheetah.jpg,episodic/Encoding/ListA/sock.jpg,0.031779803,"25,67",E
