1.1920 	WARNING 	pyo audio lib was requested but not loaded: No module named pyo
3.0816 	INFO 	---START PARAMETERS---
3.0817 	INFO 	subject: 1
3.0817 	INFO 	session: 1
3.0817 	INFO 	date: Dec_06_1034
3.0818 	INFO 	isPractice: 0
3.0818 	INFO 	blockLengths: [52, 52]
3.0819 	INFO 	randomizeBlocks: 1
3.0819 	INFO 	ITI_min: 4.500000
3.0819 	INFO 	ITI_range: 3.000000
3.0820 	INFO 	flankerDur: 0.080000
3.0820 	INFO 	targetDur: 0.030000
3.0820 	INFO 	respDur: 1
3.0821 	INFO 	blankDur: 0.000000
3.0821 	INFO 	respKeys: ['3', '1']
3.0821 	INFO 	triggerKey: ['5', 't']
3.0822 	INFO 	isFullScreen: 1
3.0822 	INFO 	fixCrossSize: 10.000000
3.0822 	INFO 	rtDeadline: 1.400000
3.0823 	INFO 	rtTooSlowDur: 0.600000
3.0823 	INFO 	---END PARAMETERS---
3.0876 	INFO 	Loaded monitor calibration from ['2017_05_17 09:51']
3.0897 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
3.6925 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.7,  0.7,  0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0xa784c60c>, name='win', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.8021 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=62, italic=False, name='fixation', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
3.8075 	EXP 	Created topMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='topMsg', opacity=1.0, ori=0.0, pos=array([   0.,  100.]), rgb=array([0, 0, 0]), text=u'aaa', units='pix', win=Window(...), wrapWidth=500)
3.8109 	EXP 	Created bottomMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='bottomMsg', opacity=1.0, ori=0.0, pos=array([   0., -100.]), rgb=array([0, 0, 0]), text=u'bbb', units='pix', win=Window(...), wrapWidth=500)
3.8158 	EXP 	Created target = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='target', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([0, 0, 0]), text=u'\u2190', units='pix', win=Window(...), wrapWidth=500)
3.8189 	EXP 	Created flanker1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker1', opacity=1.0, ori=0.0, pos=array([-124.,    0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.8214 	EXP 	Created flanker2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker2', opacity=1.0, ori=0.0, pos=array([-62.,   0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.8240 	EXP 	Created flanker3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker3', opacity=1.0, ori=0.0, pos=array([ 62.,   0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.8268 	EXP 	Created flanker4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker4', opacity=1.0, ori=0.0, pos=array([ 124.,    0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.8351 	EXP 	Created tooSlow = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='tooSlow', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'Too Slow!', units='pix', win=Window(...), wrapWidth=500)
3.8661 	EXP 	topMsg: text = 'Keep your eyes on the cross at the center of the screen when it appears. You will then see a series of arrows.'
3.8661 	EXP 	bottomMsg: text = 'Press any key to continue.'
3.8661 	EXP 	Display Instructions1
5.5207 	DATA 	Keypress: space
5.5397 	EXP 	topMsg: text = 'Using your right hand, press the left button whenever the middle arrow points left and right button when it points right.'
5.5397 	EXP 	bottomMsg: text = 'Press any key to continue.'
5.5397 	EXP 	Display Instructions2
6.4895 	DATA 	Keypress: space
6.5113 	EXP 	topMsg: text = "If you answer too slowly, you'll see a message reminding you to speed up. Please respond as accurately as possible without being slower than this deadline."
6.5113 	EXP 	bottomMsg: text = 'Press any key to continue.'
6.5113 	EXP 	Display Instructions3
7.0845 	DATA 	Keypress: space
7.0967 	EXP 	topMsg: text = ' '
7.0967 	EXP 	bottomMsg: text = "When you're ready to begin, press any key."
7.0967 	EXP 	Display Instructions4
9.4861 	DATA 	Keypress: space
9.4943 	EXP 	topMsg: text = 'Waiting for scanner to start...'
9.4943 	EXP 	bottomMsg: text = ''
9.4943 	EXP 	Display WaitingForScanner
11.6306 	DATA 	Keypress: 5
11.6325 	EXP 	Display Fixation
11.6326 	EXP 	---START EXPERIMENT---
11.6326 	EXP 	Start Block 0
11.6370 	EXP 	Display Fixation
17.2032 	EXP 	flanker1: text = u'\u2190'
17.2032 	EXP 	flanker2: text = u'\u2190'
17.2032 	EXP 	flanker3: text = u'\u2190'
17.2032 	EXP 	flanker4: text = u'\u2190'
17.2032 	EXP 	Display LeftFlankers
17.2866 	EXP 	target: text = u'\u2190'
17.2866 	EXP 	Display LeftTarget
17.3200 	EXP 	Display Blank
17.6103 	DATA 	Keypress: left
18.6929 	EXP 	Display TooSlow
19.2951 	EXP 	Display Fixation
23.0172 	EXP 	flanker1: text = u'\u2190'
23.0172 	EXP 	flanker2: text = u'\u2190'
23.0172 	EXP 	flanker3: text = u'\u2190'
23.0172 	EXP 	flanker4: text = u'\u2190'
23.0172 	EXP 	Display LeftFlankers
23.1019 	EXP 	target: text = u'\u2192'
23.1019 	EXP 	Display RightTarget
23.1339 	EXP 	Display Blank
23.3697 	DATA 	Keypress: down
23.4711 	DATA 	Keypress: left
24.5057 	EXP 	Display TooSlow
25.1084 	EXP 	Display Fixation
29.5256 	EXP 	flanker1: text = u'\u2190'
29.5256 	EXP 	flanker2: text = u'\u2190'
29.5256 	EXP 	flanker3: text = u'\u2190'
29.5256 	EXP 	flanker4: text = u'\u2190'
29.5256 	EXP 	Display LeftFlankers
29.6114 	EXP 	target: text = u'\u2190'
29.6114 	EXP 	Display LeftTarget
29.6447 	EXP 	Display Blank
29.9015 	DATA 	Keypress: left
31.0173 	EXP 	Display TooSlow
31.6192 	EXP 	Display Fixation
35.3637 	EXP 	flanker1: text = u'\u2192'
35.3637 	EXP 	flanker2: text = u'\u2192'
35.3637 	EXP 	flanker3: text = u'\u2192'
35.3637 	EXP 	flanker4: text = u'\u2192'
35.3637 	EXP 	Display RightFlankers
35.4469 	EXP 	target: text = u'\u2190'
35.4469 	EXP 	Display LeftTarget
35.4803 	EXP 	Display Blank
35.7020 	DATA 	Keypress: left
35.7232 	DATA 	Keypress: right
36.8529 	EXP 	Display TooSlow
37.4547 	EXP 	Display Fixation
40.1388 	EXP 	flanker1: text = u'\u2192'
