1.2252 	WARNING 	pyo audio lib was requested but not loaded: No module named pyo
4.1977 	INFO 	---START PARAMETERS---
4.1978 	INFO 	subject: 1
4.1978 	INFO 	session: 1
4.1978 	INFO 	date: Oct_19_2341
4.1978 	INFO 	isPractice: 1
4.1979 	INFO 	blockLengths: [8]
4.1979 	INFO 	randomizeBlocks: 1
4.1980 	INFO 	ITI_min: 4.500000
4.1980 	INFO 	ITI_range: 3.000000
4.1980 	INFO 	flankerDur: 0.080000
4.1980 	INFO 	targetDur: 0.030000
4.1981 	INFO 	respDur: 1
4.1981 	INFO 	blankDur: 0.000000
4.1981 	INFO 	respKeys: ['3', '1']
4.1981 	INFO 	triggerKey: ['5', 't']
4.1981 	INFO 	isFullScreen: 1
4.1982 	INFO 	fixCrossSize: 10.000000
4.1982 	INFO 	rtDeadline: 1.400000
4.1982 	INFO 	rtTooSlowDur: 0.600000
4.1982 	INFO 	---END PARAMETERS---
4.1989 	INFO 	Loaded monitor calibration from ['2017_05_17 09:51']
4.2009 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
4.8532 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.7,  0.7,  0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0xa780654c>, name='win', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.9858 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=62, italic=False, name='fixation', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
