1.1605 	WARNING 	pyo audio lib was requested but not loaded: No module named pyo
2.2355 	INFO 	---START PARAMETERS---
2.2355 	INFO 	subject: 1
2.2355 	INFO 	session: 1
2.2355 	INFO 	date: May_17_1012
2.2356 	INFO 	isPractice: 0
2.2356 	INFO 	blockLengths: [10, 10]
2.2356 	INFO 	randomizeBlocks: 1
2.2356 	INFO 	ITI_min: 2.500000
2.2357 	INFO 	ITI_range: 1.000000
2.2357 	INFO 	flankerDur: 0.080000
2.2357 	INFO 	targetDur: 0.030000
2.2357 	INFO 	respDur: 1
2.2357 	INFO 	blankDur: 0.000000
2.2358 	INFO 	IBI: 15.000000
2.2358 	INFO 	respKeys: ['3', '1']
2.2358 	INFO 	triggerKey: ['5', 't']
2.2358 	INFO 	isFullScreen: 1
2.2359 	INFO 	fixCrossSize: 10.000000
2.2359 	INFO 	rtDeadline: 1.400000
2.2360 	INFO 	rtTooSlowDur: 0.600000
2.2360 	INFO 	---END PARAMETERS---
2.2369 	INFO 	Loaded monitor calibration from ['2017_05_17 09:51']
2.2390 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
2.8376 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.7,  0.7,  0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0xa784574c>, name='win', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2.9538 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=62, italic=False, name='fixation', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
2.9616 	EXP 	Created topMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='topMsg', opacity=1.0, ori=0.0, pos=array([   0.,  100.]), rgb=array([0, 0, 0]), text=u'aaa', units='pix', win=Window(...), wrapWidth=500)
2.9659 	EXP 	Created bottomMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='bottomMsg', opacity=1.0, ori=0.0, pos=array([   0., -100.]), rgb=array([0, 0, 0]), text=u'bbb', units='pix', win=Window(...), wrapWidth=500)
