1.9434 	WARNING 	pyo audio lib was requested but not loaded: No module named pyo
5.6420 	INFO 	---START PARAMETERS---
5.6420 	INFO 	subject: 1
5.6421 	INFO 	session: 1
5.6421 	INFO 	date: May_17_1450
5.6421 	INFO 	isPractice: 0
5.6422 	INFO 	blockLengths: [10, 10]
5.6422 	INFO 	randomizeBlocks: 1
5.6422 	INFO 	ITI_min: 2.500000
5.6423 	INFO 	ITI_range: 1.000000
5.6423 	INFO 	flankerDur: 0.080000
5.6423 	INFO 	targetDur: 0.030000
5.6423 	INFO 	respDur: 1
5.6424 	INFO 	blankDur: 0.000000
5.6424 	INFO 	IBI: 15.000000
5.6424 	INFO 	respKeys: ['3', '1']
5.6424 	INFO 	triggerKey: ['5', 't']
5.6425 	INFO 	isFullScreen: 1
5.6425 	INFO 	fixCrossSize: 10.000000
5.6425 	INFO 	rtDeadline: 1.400000
5.6426 	INFO 	rtTooSlowDur: 0.600000
5.6426 	INFO 	---END PARAMETERS---
5.6436 	INFO 	Loaded monitor calibration from ['2017_05_17 09:51']
5.6471 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
6.3026 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.7,  0.7,  0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0xa781174c>, name='win', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3959 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=62, italic=False, name='fixation', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
6.4012 	EXP 	Created topMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='topMsg', opacity=1.0, ori=0.0, pos=array([   0.,  100.]), rgb=array([0, 0, 0]), text=u'aaa', units='pix', win=Window(...), wrapWidth=500)
6.4046 	EXP 	Created bottomMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='bottomMsg', opacity=1.0, ori=0.0, pos=array([   0., -100.]), rgb=array([0, 0, 0]), text=u'bbb', units='pix', win=Window(...), wrapWidth=500)
6.4095 	EXP 	Created target = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='target', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([0, 0, 0]), text=u'\u2190', units='pix', win=Window(...), wrapWidth=500)
