1.2923 	WARNING 	pyo audio lib was requested but not loaded: No module named pyo
2.6043 	INFO 	---START PARAMETERS---
2.6043 	INFO 	subject: 1
2.6044 	INFO 	session: 1
2.6044 	INFO 	date: Oct_19_2347
2.6044 	INFO 	isPractice: 1
2.6045 	INFO 	blockLengths: [8]
2.6045 	INFO 	randomizeBlocks: 1
2.6046 	INFO 	ITI_min: 4.500000
2.6046 	INFO 	ITI_range: 3.000000
2.6046 	INFO 	flankerDur: 0.080000
2.6046 	INFO 	targetDur: 0.030000
2.6047 	INFO 	respDur: 1
2.6047 	INFO 	blankDur: 0.000000
2.6047 	INFO 	respKeys: ['3', '1']
2.6048 	INFO 	triggerKey: ['5', 't']
2.6049 	INFO 	isFullScreen: 1
2.6049 	INFO 	fixCrossSize: 10.000000
2.6050 	INFO 	rtDeadline: 1.400000
2.6050 	INFO 	rtTooSlowDur: 0.600000
2.6050 	INFO 	---END PARAMETERS---
2.6066 	INFO 	Loaded monitor calibration from ['2017_05_17 09:51']
2.6168 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1366, 768]. Using actual size
3.2571 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.7,  0.7,  0.7]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0xa784954c>, name='win', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.3783 	EXP 	Created fixation = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=62, italic=False, name='fixation', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
3.3874 	EXP 	Created topMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='topMsg', opacity=1.0, ori=0.0, pos=array([   0.,  100.]), rgb=array([0, 0, 0]), text=u'aaa', units='pix', win=Window(...), wrapWidth=500)
3.3929 	EXP 	Created bottomMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='bottomMsg', opacity=1.0, ori=0.0, pos=array([   0., -100.]), rgb=array([0, 0, 0]), text=u'bbb', units='pix', win=Window(...), wrapWidth=500)
3.4007 	EXP 	Created target = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='target', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([0, 0, 0]), text=u'\u2190', units='pix', win=Window(...), wrapWidth=500)
3.4053 	EXP 	Created flanker1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker1', opacity=1.0, ori=0.0, pos=array([-124.,    0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.4093 	EXP 	Created flanker2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker2', opacity=1.0, ori=0.0, pos=array([-62.,   0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.4131 	EXP 	Created flanker3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker3', opacity=1.0, ori=0.0, pos=array([ 62.,   0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.4158 	EXP 	Created flanker4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font=[], fontFiles=[], height=62, italic=False, name='flanker4', opacity=1.0, ori=0.0, pos=array([ 124.,    0.]), rgb=array([0, 0, 0]), text=u'\u2192', units='pix', win=Window(...), wrapWidth=500)
3.4240 	EXP 	Created tooSlow = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=30, italic=False, name='tooSlow', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'Too Slow!', units='pix', win=Window(...), wrapWidth=500)
3.4600 	EXP 	topMsg: text = 'Keep your eyes on the cross at the center of the screen when it appears. You will then see a series of arrows.'
3.4600 	EXP 	bottomMsg: text = 'Press any key to continue.'
3.4600 	EXP 	Display Instructions1
14.5412 	DATA 	Keypress: space
14.5626 	EXP 	topMsg: text = 'Using your right hand, press the left button whenever the middle arrow points left and right button when it points right.'
14.5626 	EXP 	bottomMsg: text = 'Press any key to continue.'
14.5626 	EXP 	Display Instructions2
19.9840 	DATA 	Keypress: space
20.0068 	EXP 	topMsg: text = "If you answer too slowly, you'll see a message reminding you to speed up. Please respond as accurately as possible without being slower than this deadline."
20.0068 	EXP 	bottomMsg: text = 'Press any key to continue.'
20.0068 	EXP 	Display Instructions3
27.6107 	DATA 	Keypress: space
27.6240 	EXP 	topMsg: text = ' '
27.6240 	EXP 	bottomMsg: text = "When you're ready to begin, press any key."
27.6240 	EXP 	Display Instructions4
34.1295 	DATA 	Keypress: space
34.1395 	EXP 	topMsg: text = 'Waiting for scanner to start...'
34.1395 	EXP 	bottomMsg: text = ''
34.1395 	EXP 	Display WaitingForScanner
47.8280 	DATA 	Keypress: escape
47.8282 	EXP 	win: mouseVisible = True
